,sector
ITC.NS,Consumer Defensive
SHRIRAMFIN.NS,Financial Services
BEL.NS,Industrials
LT.NS,Industrials
ASIANPAINT.NS,Basic Materials
TRENT.NS,Consumer Cyclical
ULTRACEMCO.NS,Basic Materials
KOTAKBANK.NS,Financial Services
SUNPHARMA.NS,Healthcare
TATASTEEL.NS,Basic Materials
POWERGRID.NS,Utilities
CIPLA.NS,Healthcare
JIOFIN.NS,Financial Services
BHARTIARTL.NS,Communication Services
HINDALCO.NS,Basic Materials
HEROMOTOCO.NS,Consumer Cyclical
HCLTECH.NS,Technology
MARUTI.NS,Consumer Cyclical
BAJFINANCE.NS,Financial Services
HINDUNILVR.NS,Consumer Defensive
COALINDIA.NS,Energy
SBIN.NS,Financial Services
ETERNAL.NS,Consumer Cyclical
ONGC.NS,Energy
TATACONSUM.NS,Consumer Defensive
BAJAJFINSV.NS,Financial Services
HDFCLIFE.NS,Financial Services
ADANIPORTS.NS,Industrials
ICICIBANK.NS,Financial Services
GRASIM.NS,Basic Materials
AXISBANK.NS,Financial Services
TCS.NS,Technology
DRREDDY.NS,Healthcare
HDFCBANK.NS,Financial Services
TITAN.NS,Consumer Cyclical
EICHERMOT.NS,Consumer Cyclical
WIPRO.NS,Technology
SBILIFE.NS,Financial Services
TECHM.NS,Technology
BAJAJ-AUTO.NS,Consumer Cyclical
NESTLEIND.NS,Consumer Defensive
INDUSINDBK.NS,Financial Services
NTPC.NS,Utilities
JSWSTEEL.NS,Basic Materials
TATAMOTORS.NS,Consumer Cyclical
ADANIENT.NS,Energy
APOLLOHOSP.NS,Healthcare
INFY.NS,Technology
RELIANCE.NS,Energy
M&M.NS,Consumer Cyclical
